CustomerID,NumOrders,TotalSpending,AvgOrderValue
14646.0,73,280206.01999999984,134.97
18102.0,60,259657.30000000005,602.45
17450.0,46,194550.79000000007,577.3
16446.0,2,168472.5,56157.5
14911.0,201,143825.05999999944,25.34
12415.0,21,124914.52999999975,174.95
14156.0,55,117379.6299999998,83.84
17511.0,31,91062.37999999996,94.56
16029.0,63,81024.84000000001,334.81
12346.0,1,77183.6,77183.6
16684.0,28,66653.56,240.63
14096.0,17,65164.78999999966,12.75
13694.0,50,65039.620000000024,114.51
15311.0,91,60767.90000000011,25.54
13089.0,97,58825.83000000013,32.36
17949.0,45,58510.48,835.86
15769.0,26,56252.72000000001,432.71
15061.0,48,54534.140000000014,135.32
14298.0,44,51527.299999999974,31.48
14088.0,13,50491.81,85.72
