Description,TotalQuantity,NumTransactions,AvgPrice
"PAPER CRAFT , LITTLE BIRDIE",80995,1,2.08
MEDIUM CERAMIC TOP STORAGE JAR,77916,195,1.22
WORLD WAR 2 GLIDERS ASSTD DESIGNS,54415,472,0.29
JUMBO BAG RED RETROSPOT,46181,1600,2.02
WHITE HANGING HEART T-LIGHT HOLDER,36725,1971,2.89
ASSORTED COLOUR BIRD ORNAMENT,35362,1375,1.68
PACK OF 72 RETROSPOT CAKE CASES,33693,1029,0.55
POPCORN HOLDER,30931,632,0.84
RABBIT NIGHT LIGHT,27202,801,2.01
MINI PAINT SET VINTAGE,26076,325,0.66
PACK OF 12 LONDON TISSUES,25345,382,0.33
PACK OF 60 PINK PAISLEY CAKE CASES,24264,669,0.55
BROCADE RING PURSE,22963,206,0.32
VICTORIAN GLASS HANGING T-LIGHT,22433,815,1.43
ASSORTED COLOURS SILK FAN,21876,324,0.81
RED  HARMONICA IN BOX,20975,561,1.26
JUMBO BAG PINK POLKADOT,20165,871,2.02
SMALL POPCORN HOLDER,18252,403,0.83
LUNCH BAG RED RETROSPOT,17697,1288,1.66
60 TEATIME FAIRY CAKE CASES,17689,657,0.55
